id_tweets,stance_epfl,agreement
10,positive,Full agreement
14,neutral,Full agreement
17,positive,Full agreement
18,positive,Full agreement
25,positive,Full agreement
27,positive,Full agreement
33,neutral,Full agreement
37,neutral,Full agreement
41,positive,Full agreement
44,positive,Full agreement
46,neutral,Full agreement
62,positive,Full agreement
65,neutral,Full agreement
76,neutral,Full agreement
78,negative,Full agreement
79,positive,Full agreement
81,neutral,Full agreement
83,neutral,Full agreement
84,positive,Full agreement
90,neutral,Full agreement
98,positive,Full agreement
100,negative,Full agreement
101,neutral,Full agreement
105,positive,Full agreement
108,positive,Full agreement
124,neutral,Full agreement
125,neutral,Full agreement
129,neutral,Full agreement
137,negative,Full agreement
139,neutral,Full agreement
140,positive,Full agreement
151,neutral,Full agreement
155,neutral,Full agreement
159,neutral,Full agreement
163,neutral,Full agreement
169,neutral,Full agreement
175,neutral,Full agreement
176,neutral,Full agreement
178,negative,Full agreement
186,neutral,Full agreement
187,positive,Full agreement
189,positive,Full agreement
191,neutral,Full agreement
199,neutral,Full agreement
203,neutral,Full agreement
205,neutral,Full agreement
207,neutral,Full agreement
211,neutral,Full agreement
212,neutral,Full agreement
221,neutral,Full agreement
223,neutral,Full agreement
225,neutral,Full agreement
229,neutral,Full agreement
237,neutral,Full agreement
238,neutral,Full agreement
242,positive,Full agreement
245,positive,Full agreement
247,neutral,Full agreement
249,positive,Full agreement
250,positive,Full agreement
252,negative,Full agreement
254,neutral,Full agreement
260,neutral,Full agreement
267,neutral,Full agreement
272,neutral,Full agreement
287,neutral,Full agreement
300,neutral,Full agreement
302,neutral,Full agreement
304,neutral,Full agreement
330,neutral,Full agreement
331,neutral,Full agreement
334,neutral,Full agreement
336,neutral,Full agreement
337,neutral,Full agreement
344,neutral,Full agreement
352,negative,Full agreement
356,neutral,Full agreement
357,neutral,Full agreement
360,positive,Full agreement
369,neutral,Full agreement
372,neutral,Full agreement
375,neutral,Full agreement
377,neutral,Full agreement
384,neutral,Full agreement
385,neutral,Full agreement
387,neutral,Full agreement
390,neutral,Full agreement
391,neutral,Full agreement
392,neutral,Full agreement
393,neutral,Full agreement
394,neutral,Full agreement
400,neutral,Full agreement
401,neutral,Full agreement
403,neutral,Full agreement
406,neutral,Full agreement
408,neutral,Full agreement
409,neutral,Full agreement
415,neutral,Full agreement
416,neutral,Full agreement
420,neutral,Full agreement
425,neutral,Full agreement
426,neutral,Full agreement
428,negative,Full agreement
429,neutral,Full agreement
430,neutral,Full agreement
431,neutral,Full agreement
436,neutral,Full agreement
441,neutral,Full agreement
442,neutral,Full agreement
443,neutral,Full agreement
444,neutral,Full agreement
445,neutral,Full agreement
446,neutral,Full agreement
447,neutral,Full agreement
449,neutral,Full agreement
454,neutral,Full agreement
459,neutral,Full agreement
462,neutral,Full agreement
466,neutral,Full agreement
467,neutral,Full agreement
469,neutral,Full agreement
470,neutral,Full agreement
474,neutral,Full agreement
479,neutral,Full agreement
485,neutral,Full agreement
487,negative,Full agreement
488,neutral,Full agreement
491,neutral,Full agreement
492,neutral,Full agreement
493,positive,Full agreement
495,neutral,Full agreement
496,neutral,Full agreement
500,neutral,Full agreement
505,neutral,Full agreement
509,positive,Full agreement
511,neutral,Full agreement
513,neutral,Full agreement
516,positive,Full agreement
517,neutral,Full agreement
520,neutral,Full agreement
525,neutral,Full agreement
526,neutral,Full agreement
527,positive,Full agreement
528,neutral,Full agreement
531,neutral,Full agreement
534,positive,Full agreement
536,neutral,Full agreement
539,neutral,Full agreement
540,neutral,Full agreement
542,neutral,Full agreement
545,neutral,Full agreement
555,neutral,Full agreement
559,neutral,Full agreement
560,neutral,Full agreement
561,neutral,Full agreement
568,neutral,Full agreement
569,neutral,Full agreement
570,negative,Full agreement
571,negative,Full agreement
572,neutral,Full agreement
573,neutral,Full agreement
575,neutral,Full agreement
578,positive,Full agreement
579,neutral,Full agreement
580,neutral,Full agreement
583,neutral,Full agreement
585,neutral,Full agreement
588,positive,Full agreement
590,neutral,Full agreement
591,neutral,Full agreement
593,neutral,Full agreement
594,neutral,Full agreement
595,neutral,Full agreement
600,positive,Full agreement
603,neutral,Full agreement
607,positive,Full agreement
608,neutral,Full agreement
609,positive,Full agreement
618,positive,Full agreement
624,neutral,Full agreement
628,neutral,Full agreement
629,neutral,Full agreement
639,neutral,Full agreement
646,neutral,Full agreement
653,neutral,Full agreement
654,neutral,Full agreement
667,positive,Full agreement
669,neutral,Full agreement
672,neutral,Full agreement
678,neutral,Full agreement
680,positive,Full agreement
682,neutral,Full agreement
683,positive,Full agreement
684,neutral,Full agreement
685,neutral,Full agreement
689,negative,Full agreement
691,positive,Full agreement
698,neutral,Full agreement
704,neutral,Full agreement
707,positive,Full agreement
711,neutral,Full agreement
712,neutral,Full agreement
716,neutral,Full agreement
719,neutral,Full agreement
721,neutral,Full agreement
722,neutral,Full agreement
726,neutral,Full agreement
