id_tweets,stance_epfl,agreement
1,neutral,Partial agreement
2,negative,Partial agreement
3,negative,Partial agreement
4,positive,Partial agreement
5,neutral,Partial agreement
7,positive,Partial agreement
8,neutral,Partial agreement
9,neutral,Partial agreement
10,positive,Partial agreement
13,neutral,Partial agreement
14,neutral,Partial agreement
15,neutral,Partial agreement
17,positive,Partial agreement
18,positive,Partial agreement
20,neutral,Partial agreement
21,neutral,Partial agreement
25,positive,Partial agreement
26,positive,Partial agreement
27,positive,Partial agreement
28,neutral,Partial agreement
30,neutral,Partial agreement
31,neutral,Partial agreement
32,positive,Partial agreement
33,neutral,Partial agreement
34,neutral,Partial agreement
36,negative,Partial agreement
37,neutral,Partial agreement
39,positive,Partial agreement
40,positive,Partial agreement
41,positive,Partial agreement
43,neutral,Partial agreement
44,positive,Partial agreement
45,negative,Partial agreement
46,neutral,Partial agreement
47,positive,Partial agreement
50,positive,Partial agreement
51,neutral,Partial agreement
54,negative,Partial agreement
57,neutral,Partial agreement
58,neutral,Partial agreement
59,positive,Partial agreement
60,neutral,Partial agreement
61,neutral,Partial agreement
62,positive,Partial agreement
63,neutral,Partial agreement
64,negative,Partial agreement
65,neutral,Partial agreement
66,neutral,Partial agreement
67,neutral,Partial agreement
68,neutral,Partial agreement
69,neutral,Partial agreement
70,positive,Partial agreement
76,neutral,Partial agreement
77,neutral,Partial agreement
78,negative,Partial agreement
79,positive,Partial agreement
80,positive,Partial agreement
81,neutral,Partial agreement
82,neutral,Partial agreement
83,neutral,Partial agreement
84,positive,Partial agreement
87,neutral,Partial agreement
89,neutral,Partial agreement
90,neutral,Partial agreement
92,neutral,Partial agreement
94,neutral,Partial agreement
95,neutral,Partial agreement
97,neutral,Partial agreement
98,positive,Partial agreement
99,neutral,Partial agreement
100,negative,Partial agreement
101,neutral,Partial agreement
102,positive,Partial agreement
103,neutral,Partial agreement
104,neutral,Partial agreement
105,positive,Partial agreement
107,neutral,Partial agreement
108,positive,Partial agreement
109,neutral,Partial agreement
110,neutral,Partial agreement
111,positive,Partial agreement
112,neutral,Partial agreement
114,positive,Partial agreement
116,positive,Partial agreement
117,positive,Partial agreement
118,neutral,Partial agreement
119,negative,Partial agreement
120,positive,Partial agreement
123,positive,Partial agreement
124,neutral,Partial agreement
125,neutral,Partial agreement
126,neutral,Partial agreement
128,neutral,Partial agreement
129,neutral,Partial agreement
130,neutral,Partial agreement
131,neutral,Partial agreement
132,negative,Partial agreement
133,positive,Partial agreement
137,negative,Partial agreement
138,negative,Partial agreement
139,neutral,Partial agreement
140,positive,Partial agreement
141,positive,Partial agreement
143,neutral,Partial agreement
144,positive,Partial agreement
145,positive,Partial agreement
146,positive,Partial agreement
147,neutral,Partial agreement
149,neutral,Partial agreement
151,neutral,Partial agreement
152,neutral,Partial agreement
153,neutral,Partial agreement
154,neutral,Partial agreement
155,neutral,Partial agreement
156,neutral,Partial agreement
157,positive,Partial agreement
158,positive,Partial agreement
159,neutral,Partial agreement
163,neutral,Partial agreement
165,positive,Partial agreement
168,neutral,Partial agreement
169,neutral,Partial agreement
170,neutral,Partial agreement
171,positive,Partial agreement
173,neutral,Partial agreement
174,positive,Partial agreement
175,neutral,Partial agreement
176,neutral,Partial agreement
177,positive,Partial agreement
178,negative,Partial agreement
181,neutral,Partial agreement
182,neutral,Partial agreement
183,positive,Partial agreement
184,neutral,Partial agreement
186,neutral,Partial agreement
187,positive,Partial agreement
189,positive,Partial agreement
191,neutral,Partial agreement
192,positive,Partial agreement
194,neutral,Partial agreement
195,neutral,Partial agreement
197,positive,Partial agreement
198,neutral,Partial agreement
199,neutral,Partial agreement
200,positive,Partial agreement
201,neutral,Partial agreement
202,positive,Partial agreement
203,neutral,Partial agreement
204,positive,Partial agreement
205,neutral,Partial agreement
206,positive,Partial agreement
207,neutral,Partial agreement
208,neutral,Partial agreement
209,neutral,Partial agreement
211,neutral,Partial agreement
212,neutral,Partial agreement
214,positive,Partial agreement
215,positive,Partial agreement
216,neutral,Partial agreement
219,neutral,Partial agreement
220,neutral,Partial agreement
221,neutral,Partial agreement
222,neutral,Partial agreement
223,neutral,Partial agreement
224,positive,Partial agreement
225,neutral,Partial agreement
227,positive,Partial agreement
229,neutral,Partial agreement
230,positive,Partial agreement
231,negative,Partial agreement
234,neutral,Partial agreement
236,positive,Partial agreement
237,neutral,Partial agreement
238,neutral,Partial agreement
240,neutral,Partial agreement
242,positive,Partial agreement
243,neutral,Partial agreement
244,negative,Partial agreement
245,positive,Partial agreement
247,neutral,Partial agreement
248,neutral,Partial agreement
249,positive,Partial agreement
250,positive,Partial agreement
252,negative,Partial agreement
254,neutral,Partial agreement
255,positive,Partial agreement
256,positive,Partial agreement
257,positive,Partial agreement
258,neutral,Partial agreement
260,neutral,Partial agreement
262,neutral,Partial agreement
263,neutral,Partial agreement
265,neutral,Partial agreement
266,neutral,Partial agreement
267,neutral,Partial agreement
270,neutral,Partial agreement
271,neutral,Partial agreement
272,neutral,Partial agreement
273,neutral,Partial agreement
274,neutral,Partial agreement
275,negative,Partial agreement
276,neutral,Partial agreement
279,positive,Partial agreement
284,positive,Partial agreement
285,neutral,Partial agreement
287,neutral,Partial agreement
288,positive,Partial agreement
291,neutral,Partial agreement
292,neutral,Partial agreement
293,positive,Partial agreement
294,neutral,Partial agreement
295,neutral,Partial agreement
296,positive,Partial agreement
299,neutral,Partial agreement
300,neutral,Partial agreement
302,neutral,Partial agreement
303,neutral,Partial agreement
304,neutral,Partial agreement
306,positive,Partial agreement
307,positive,Partial agreement
309,neutral,Partial agreement
310,positive,Partial agreement
311,neutral,Partial agreement
312,neutral,Partial agreement
313,neutral,Partial agreement
314,neutral,Partial agreement
315,neutral,Partial agreement
317,neutral,Partial agreement
318,positive,Partial agreement
319,negative,Partial agreement
320,neutral,Partial agreement
321,neutral,Partial agreement
322,positive,Partial agreement
324,neutral,Partial agreement
325,neutral,Partial agreement
326,neutral,Partial agreement
327,neutral,Partial agreement
328,neutral,Partial agreement
330,neutral,Partial agreement
331,neutral,Partial agreement
332,neutral,Partial agreement
334,neutral,Partial agreement
335,positive,Partial agreement
336,neutral,Partial agreement
337,neutral,Partial agreement
338,neutral,Partial agreement
339,neutral,Partial agreement
340,neutral,Partial agreement
341,neutral,Partial agreement
344,neutral,Partial agreement
345,neutral,Partial agreement
346,neutral,Partial agreement
350,neutral,Partial agreement
352,negative,Partial agreement
354,positive,Partial agreement
355,neutral,Partial agreement
356,neutral,Partial agreement
357,neutral,Partial agreement
358,negative,Partial agreement
360,positive,Partial agreement
361,positive,Partial agreement
362,neutral,Partial agreement
363,neutral,Partial agreement
364,neutral,Partial agreement
365,neutral,Partial agreement
366,positive,Partial agreement
368,neutral,Partial agreement
369,neutral,Partial agreement
370,neutral,Partial agreement
371,neutral,Partial agreement
372,neutral,Partial agreement
373,neutral,Partial agreement
