neutral_mturk,negative_mturk,positive_mturk,total,agree_mturk,sent_m,sent_c,sent_g,sent_l,neutral_sent,pos_sent,neg_sent,agree_sent,neutral_stan,pos_stan,neg_stan,agree_stan,stance_m,stance_c,stance_g,stance_l,agree_stance,stance_epfl,id_tweets,sentiment_gpt,explanation,prompt,tweet_id
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,positive,,0,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,positive," The user has shared a quote from Edward James Olmos expressing that education is a solution to violence, and this sentiment is positive.",1,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,is tweet is not expressing a sentiment regarding vaccination specifically.,3,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,,40,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,"e tweet does not express a sentiment towards vaccination. It uses ""vaccine"" metaphorically within a completely different context - education and violence.",41,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,negative,"nt regarding vaccination in the tweet is neutral. The user is sharing a quote about education being a metaphorical ""vaccine"" for violence, however, they don't express any personal sentiments towards actual vaccines or vaccinations.",45,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,"is tweet is discussing the importance of education as a form of prevention for violence, and does not directly express a sentiment regarding vaccination.",4,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,is tweet does not express an opinion regarding vaccines or vaccinations. It expresses a sentiment about education generally in order to advocate for it as a solution to violence.,5,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,e tweet does not express a sentiment regarding vaccination.,6,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,"e sentiment expressed by the user is neither positive or negative regarding vaccination, it is a quote by a third-party.",7,1244630377919963100
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,480,neutral,"e tweet does not express a stance towards vaccines, it provides an analogy about the relationship between education and violence.",8,1244630377919963100
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,,0,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative," The tweet expresses an unfavorable opinion about naturopaths, homeopaths, and similar entities with regard to public health in Canada.",1,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,neutral,e tweet does not express a positive or negative opinion of vaccines but rather provides information about vaccine hesitancy discourse and vaccine alternatives offered by naturopaths.,3,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,,40,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,"he user expresses a negative sentiment towards vaccination. This is evident in their mention of ""vaccine hesitancy discourse"" and the alternatives to vaccines or flu shots offered by naturopaths and homeopaths, which they perceive as threats to public health.",41,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,positive,"he user is criticising anti-vaccine discourse and alternatives offered on naturopath websites, implying support for legitimate, science-backed vaccinations.",45,1348344566131388400
