Method,Prompt,Accuracy,Accuracy (95% CI),Accuracy (p-value)
GPT 4,8,0.8071,(0.7772 - 0.8347),1.2e-5
GPT 4,4,0.7926,(0.7619 - 0.821),5.5e-4
GPT 4,1,0.7847,(0.7537 - 0.8135),0.003046
GPT 4,3,0.7666,(0.7347 - 0.7963),0.051487
GPT 3.5,3,0.749,(0.7165 - 0.7795),0.325988
Amazon Mturk,NA,0.7315,(0.6984 - 0.7628),0.761131
GPT 3.5,6,0.7252,(0.6919 - 0.7568),0.850073
GPT 4,6,0.7252,(0.6919 - 0.7568),0.850073
GPT 4,7,0.7252,(0.6919 - 0.7568),0.850073
GPT 4,0,0.7199,(0.6865 - 0.7517),0.913649
GPT 3.5,4,0.716,(0.6824 - 0.7479),0.946066
GPT 3.5,5,0.7133,(0.6797 - 0.7453),0.961662
GPT 3.5,8,0.6948,(0.6607 - 0.7275),0.998129
GPT 4,5,0.6579,(0.6228 - 0.6916),1
GPT 3.5,7,0.5443,(0.508 - 0.5802),1
GPT 3.5,1,0.4425,(0.4068 - 0.4787),1
GPT 3.5,0,0.4373,(0.4016 - 0.4734),1
