Method,Prompt,Accuracy,Accuracy (95% CI),Accuracy (p-value)
GPT 4,5,0.5,(0.3065 - 0.6935),0.085625
GPT 4,3,0.5,(0.3065 - 0.6935),0.085625
GPT 3.5,3,0.4643,(0.2751 - 0.6613),0.161837
GPT 4,4,0.4643,(0.2751 - 0.6613),0.161837
GPT 4,6,0.4643,(0.2751 - 0.6613),0.161837
GPT 4,8,0.4643,(0.2751 - 0.6613),0.161837
Mistral,2,0.4643,(0.2751 - 0.6613),0.161837
Mixtral,8,0.4643,(0.2751 - 0.6613),0.161837
GPT 3.5,4,0.4286,(0.2446 - 0.6282),0.273297
GPT 4,2,0.4286,(0.2446 - 0.6282),0.273297
GPT 4,7,0.4286,(0.2446 - 0.6282),0.273297
Mistral,3,0.4286,(0.2446 - 0.6282),0.273297
Mistral,4,0.4286,(0.2446 - 0.6282),0.273297
Mistral,7,0.4286,(0.2446 - 0.6282),0.273297
Llama3,6,0.4286,(0.2446 - 0.6282),0.273297
Llama3,7,0.4286,(0.2446 - 0.6282),0.273297
Mistral,1,0.4138,(0.2352 - 0.6106),0.274787
GPT 3.5,5,0.3929,(0.215 - 0.5942),0.414917
GPT 3.5,6,0.3929,(0.215 - 0.5942),0.414917
GPT 3.5,7,0.3929,(0.215 - 0.5942),0.414917
GPT 3.5,8,0.3929,(0.215 - 0.5942),0.414917
Mistral,6,0.3929,(0.215 - 0.5942),0.414917
Mistral,8,0.3929,(0.215 - 0.5942),0.414917
Mixtral,2,0.3929,(0.215 - 0.5942),0.414917
Mixtral,7,0.3929,(0.215 - 0.5942),0.414917
Llama3,4,0.3929,(0.215 - 0.5942),0.414917
GPT 3.5,2,0.3571,(0.1864 - 0.5593),0.570699
Mistral,5,0.3571,(0.1864 - 0.5593),0.570699
Mixtral,4,0.3571,(0.1864 - 0.5593),0.570699
Llama3,5,0.3571,(0.1864 - 0.5593),0.570699
GPT 4,1,0.3214,(0.1588 - 0.5235),0.718281
Mixtral,3,0.3214,(0.1588 - 0.5235),0.718281
Mixtral,5,0.3214,(0.1588 - 0.5235),0.718281
Mixtral,6,0.3214,(0.1588 - 0.5235),0.718281
Llama3,3,0.3214,(0.1588 - 0.5235),0.718281
Llama3,8,0.3214,(0.1588 - 0.5235),0.718281
Mixtral,1,0.3103,(0.1528 - 0.5083),0.716038
Llama3,1,0.2963,(0.1375 - 0.5018),0.840439
GPT 3.5,1,0.2759,(0.1273 - 0.4724),0.835425
Amazon Mturk,None,0,(0 - 0.975),1
Vader,None,0,(0 - 0.975),1
