Method,Prompt,Accuracy,Accuracy (95% CI),Accuracy (p-value)
GPT 4,4,0.5187,(0.4496 - 0.5873),0.774973
GPT 4,7,0.4953,(0.4265 - 0.5643),0.633779
Amazon Mturk,None,0.4944,(0.4807 - 0.5082),0.945843
GPT 3.5,8,0.4696,(0.4215 - 0.5181),0.981204
GPT 3.5,3,0.4626,(0.4146 - 0.5111),0.954704
GPT 4,6,0.4533,(0.3853 - 0.5226),0.994337
GPT 4,8,0.4533,(0.3853 - 0.5226),0.976347
Vader,None,0.4486,(0.4349 - 0.4624),1
GPT 4,5,0.4486,(0.3808 - 0.5179),0.976348
GPT 3.5,5,0.4439,(0.3962 - 0.4924),0.998414
GPT 3.5,4,0.4416,(0.3939 - 0.4901),0.996103
GPT 3.5,6,0.4276,(0.3802 - 0.476),0.999934
Llama3 (70B),8,0.4042,(0.3573 - 0.4524),0.999999
Llama3 (8B),1,0.3995,(0.3528 - 0.4477),1
"Mixtral 
(8x7B)",7,0.3972,(0.3505 - 0.4453),0.999998
GPT 4,2,0.3925,(0.3267 - 0.4614),0.999985
"Mixtral 
(8x7B)",5,0.3925,(0.346 - 0.4406),1
"Mixtral 
(8x7B)",6,0.3832,(0.3369 - 0.4311),1
"Mistral 
(7B)",1,0.3785,(0.3324 - 0.4263),1
GPT 3.5,1,0.3762,(0.3301 - 0.424),1
"Mixtral 
(8x7B)",8,0.3738,(0.3278 - 0.4216),1
Llama3 (70B),5,0.3715,(0.3256 - 0.4192),1
GPT 4,1,0.3692,(0.3044 - 0.4376),1
GPT 4,3,0.3692,(0.3044 - 0.4376),1
"Mistral 
(7B)",2,0.3682,(0.322 - 0.4162),1
Llama3 (70B),3,0.3598,(0.3143 - 0.4073),1
"Mistral 
(7B)",6,0.3575,(0.312 - 0.4049),1
"Mixtral 
(8x7B)",1,0.3575,(0.312 - 0.4049),1
Llama3 (70B),6,0.3575,(0.312 - 0.4049),1
"Mistral 
(7B)",7,0.3505,(0.3053 - 0.3977),1
"Mixtral 
(8x7B)",4,0.3458,(0.3008 - 0.393),1
Llama3 (70B),4,0.3411,(0.2963 - 0.3882),1
Llama3 (70B),7,0.3388,(0.294 - 0.3858),1
"Mistral 
(7B)",4,0.3318,(0.2873 - 0.3786),1
Llama3 (8B),2,0.3302,(0.2854 - 0.3774),1
"Mixtral 
(8x7B)",3,0.3224,(0.2783 - 0.369),1
"Mistral 
(7B)",3,0.3201,(0.2761 - 0.3666),1
"Mistral 
(7B)",8,0.3201,(0.2761 - 0.3666),1
"Mistral 
(7B)",5,0.3178,(0.2739 - 0.3642),1
Llama3 (8B),7,0.3154,(0.2716 - 0.3618),1
Llama3 (8B),4,0.3131,(0.2694 - 0.3594),1
Llama3 (70B),2,0.3064,(0.2627 - 0.3529),1
Llama3 (8B),5,0.3061,(0.2627 - 0.3521),1
Llama3 (70B),1,0.2991,(0.256 - 0.3449),1
GPT 3.5,2,0.2945,(0.2514 - 0.3406),1
"Mixtral 
(8x7B)",2,0.2945,(0.2514 - 0.3406),1
GPT 3.5,7,0.2804,(0.2383 - 0.3255),1
Llama3 (8B),8,0.2547,(0.214 - 0.2987),1
Llama3 (8B),3,0.2336,(0.1943 - 0.2767),1
Llama3 (8B),6,0.2173,(0.1791 - 0.2594),1
