Method,Prompt,Accuracy,Accuracy (95% CI),Accuracy (p-value)
Amazon Mturk,None,0.6336,(0.5981 - 0.668),0.004199
"Llama3 
(70B)",8,0.5914,(0.5694 - 0.6131),0
Vader,None,0.5812,(0.5452 - 0.6167),0.573901
"Llama3 
(70B)",4,0.5733,(0.5512 - 0.5951),0
GPT 4,5,0.5646,(0.5332 - 0.5956),0
"Llama3 
(70B)",6,0.5643,(0.5421 - 0.5862),0
GPT 4,8,0.5636,(0.5322 - 0.5946),0
"Llama3 
(70B)",7,0.5612,(0.5391 - 0.5832),0
GPT 4,6,0.5586,(0.5271 - 0.5896),0
GPT 4,2,0.5556,(0.5241 - 0.5867),0
"Llama3 
(70B)",3,0.5552,(0.5331 - 0.5772),0
"Llama3 
(70B)",5,0.5552,(0.5331 - 0.5772),0
GPT 4,7,0.5536,(0.5221 - 0.5847),0
"Mixtral 
(8x7B)",8,0.5532,(0.5311 - 0.5752),0
GPT 4,1,0.5495,(0.5181 - 0.5807),0
"Llama3 
(70B)",2,0.5489,(0.5266 - 0.5711),0
GPT 4,4,0.5465,(0.5151 - 0.5777),0
"Mixtral 
(8x7B)",4,0.5452,(0.523 - 0.5672),0
"Mixtral 
(8x7B)",7,0.5351,(0.5129 - 0.5572),0
"Mixtral 
(8x7B)",5,0.5341,(0.5119 - 0.5562),0
"Mistral 
(7B)",1,0.5328,(0.5107 - 0.5548),0
"Mistral 
(7B)",8,0.5271,(0.5049 - 0.5492),0
GPT 4,3,0.5225,(0.491 - 0.5539),2.9e-5
"Llama3 
(8B)",2,0.5203,(0.498 - 0.5426),0
"Mixtral 
(8x7B)",1,0.5179,(0.4958 - 0.5399),0
GPT 3.5,6,0.5178,(0.4956 - 0.5399),0
GPT 3.5,4,0.5173,(0.4951 - 0.5394),0
GPT 3.5,5,0.5173,(0.4951 - 0.5394),0
"Mixtral 
(8x7B)",6,0.5171,(0.4949 - 0.5392),0
"Llama3 
(70B)",1,0.5149,(0.4928 - 0.537),0
"Mistral 
(7B)",3,0.51,(0.4878 - 0.5322),1e-6
"Mistral 
(7B)",2,0.5092,(0.4868 - 0.5315),4e-6
"Mistral 
(7B)",7,0.507,(0.4848 - 0.5292),4e-6
"Mistral 
(7B)",4,0.506,(0.4838 - 0.5282),6e-6
"Mixtral 
(8x7B)",3,0.504,(0.4818 - 0.5262),1.3e-5
"Mistral 
(7B)",5,0.497,(0.4748 - 0.5192),1.78e-4
"Mixtral 
(8x7B)",2,0.4954,(0.4731 - 0.5178),6.12e-4
GPT 3.5,8,0.4947,(0.4726 - 0.5169),4.87e-4
GPT 3.5,3,0.4927,(0.4706 - 0.5149),9.08e-4
"Mistral 
(7B)",6,0.489,(0.4668 - 0.5112),0.002169
GPT 3.5,7,0.4712,(0.4491 - 0.4934),0.116898
GPT 3.5,2,0.4606,(0.4384 - 0.4829),0.472706
"Llama3 
(8B)",8,0.4468,(0.4249 - 0.469),0.833085
"Llama3 
(8B)",4,0.4403,(0.4184 - 0.4624),0.93965
GPT 3.5,1,0.4403,(0.4184 - 0.4622),0.932981
"Llama3 
(8B)",3,0.4117,(0.39 - 0.4337),0.999982
"Llama3 
(8B)",1,0.4033,(0.3818 - 0.4251),0.999999
"Llama3 
(8B)",5,0.3857,(0.3642 - 0.4074),1
"Llama3 
(8B)",7,0.3816,(0.3603 - 0.4034),1
"Llama3 
(8B)",6,0.3596,(0.3385 - 0.3811),1
