Method,Prompt,Accuracy,Accuracy 95% CI,P-value
GPT 4,4,0.792602378,(0.7619 - 0.821),5.50E-04
GPT 4,1,0.784676354,(0.7537 - 0.8135),0.003046278
GPT 4,3,0.766578249,(0.7347 - 0.7963),0.051487136
GPT 3.5,3,0.749009247,(0.7165 - 0.7795),0.325988022
Amazon Mturk,na,0.731481481,(0.6984 - 0.7628),0.761130648
GPT 3.5,6,0.725231176,(0.6919 - 0.7568),0.850073423
GPT 6,6,0.725231176,(0.6919 - 0.7568),0.850073423
GPT 4,7,0.725231176,(0.6919 - 0.7568),0.850073423
GPT 4,0,0.71994716,(0.6865 - 0.7517),0.913648977
GPT 3.5,4,0.715984148,(0.6824 - 0.7479),0.946065568
GPT 3.5,5,0.71334214,(0.6797 - 0.7453),0.961661602
GPT 3.5,8,0.694848085,(0.6607 - 0.7275),0.998128965
GPT 4,5,0.657859974,(0.6228 - 0.6916),0.999999845
GPT 3.5,7,0.544253633,(0.508 - 0.5802),1
GPT 3.5,1,0.442536328,(0.4068 - 0.4787),1
GPT 3.5,0,0.437252312,(0.4016 - 0.4734),1
