Method,Prompt,Stance,F1 score,Sensitivity,Specificity,agreement
GPT 3.5,2,positive,0.4419,0.6129,0.7632,Full agreement
GPT 3.5,2,neutral,0.5581,0.4042,0.843,Full agreement
GPT 3.5,2,negative,0.2,0.7857,0.6737,Full agreement
GPT 3.5,1,positive,0.4342,0.66,0.6987,Full agreement
GPT 3.5,1,neutral,0.5778,0.4233,0.8594,Full agreement
GPT 3.5,1,negative,0.2418,0.7857,0.7509,Full agreement
GPT 3.5,3,positive,0.4928,0.3469,0.9869,Full agreement
GPT 3.5,3,neutral,0.9069,0.9534,0.4921,Full agreement
GPT 3.5,3,negative,0.4571,0.5714,0.9507,Full agreement
GPT 3.5,4,positive,0.5823,0.4694,0.9694,Full agreement
GPT 3.5,4,neutral,0.9018,0.9207,0.5873,Full agreement
GPT 3.5,4,negative,0.3684,0.5,0.9355,Full agreement
GPT 4,2,positive,0.7436,0.5918,1,Full agreement
GPT 4,2,neutral,0.951,0.9488,0.8413,Full agreement
GPT 4,2,negative,0.5306,0.9286,0.9167,Full agreement
GPT 4,1,positive,0.6512,0.5714,0.9607,Full agreement
GPT 4,1,neutral,0.9074,0.8884,0.7619,Full agreement
GPT 4,1,negative,0.4082,0.7143,0.9053,Full agreement
GPT 4,5,positive,0.7619,0.6531,0.9869,Full agreement
GPT 4,5,neutral,0.9428,0.9581,0.746,Full agreement
GPT 4,5,negative,0.6857,0.8571,0.9659,Full agreement
GPT 3.5,5,positive,0.5,0.3878,0.965,Full agreement
GPT 3.5,5,neutral,0.9023,0.9254,0.5714,Full agreement
GPT 3.5,5,negative,0.359,0.5,0.9317,Full agreement
GPT 3.5,6,positive,0.5854,0.4898,0.9606,Full agreement
GPT 3.5,6,neutral,0.8984,0.9068,0.619,Full agreement
GPT 3.5,6,negative,0.5,0.7143,0.9393,Full agreement
GPT 3.5,7,positive,0.5679,0.4694,0.9606,Full agreement
GPT 3.5,7,neutral,0.7364,0.6154,0.8095,Full agreement
GPT 3.5,7,negative,0.2251,0.9286,0.6641,Full agreement
GPT 3.5,8,positive,0.5217,0.4898,0.9168,Full agreement
GPT 3.5,8,neutral,0.8753,0.8834,0.5397,Full agreement
GPT 3.5,8,negative,0.3333,0.3571,0.9583,Full agreement
Amazon Mturk,NA,positive,0.5607,0.6122,0.8777,Full agreement
Amazon Mturk,NA,neutral,0.8915,0.8977,0.6032,Full agreement
Amazon Mturk,NA,negative,0.125,0.0714,0.9962,Full agreement
GPT 4,3,positive,0.6389,0.4694,1,Full agreement
GPT 4,3,neutral,0.9385,0.9581,0.7143,Full agreement
GPT 4,3,negative,0.5333,0.8571,0.928,Full agreement
GPT 4,4,positive,0.675,0.551,0.9825,Full agreement
GPT 4,4,neutral,0.9406,0.9581,0.7302,Full agreement
GPT 4,4,negative,0.6316,0.8571,0.9545,Full agreement
GPT 4,6,positive,0.7561,0.6327,0.9913,Full agreement
GPT 4,6,neutral,0.9406,0.9581,0.7302,Full agreement
GPT 4,6,negative,0.6111,0.7857,0.9583,Full agreement
