Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.4714,0.4411,0.7524,Co-author (2)
gpt2,NA,neutral,0.4556,0.3865,0.7375,Co-author (2)
gpt2,NA,negative,0.4498,0.6875,0.7072,Co-author (2)
gpt1,NA,positive,0.4682,0.4688,0.6922,Co-author (2)
gpt1,NA,neutral,0.4279,0.3731,0.688,Co-author (2)
gpt1,NA,negative,0.4168,0.5531,0.7627,Co-author (2)
gpt3,NA,positive,0.1418,0.0795,0.9763,Co-author (2)
gpt3,NA,neutral,0.6468,0.9258,0.207,Co-author (2)
gpt3,NA,negative,0.2878,0.2273,0.9247,Co-author (2)
gpt4,NA,positive,0.2965,0.1945,0.9322,Co-author (2)
gpt4,NA,neutral,0.6474,0.8559,0.3327,Co-author (2)
gpt4,NA,negative,0.3506,0.3068,0.9052,Co-author (2)
gpt42,NA,positive,0.3124,0.1973,0.9621,Co-author (2)
gpt42,NA,neutral,0.6784,0.8843,0.3882,Co-author (2)
gpt42,NA,negative,0.4548,0.4432,0.8919,Co-author (2)
gpt41,NA,positive,0.3651,0.2521,0.9259,Co-author (2)
gpt41,NA,neutral,0.6655,0.8231,0.4492,Co-author (2)
gpt41,NA,negative,0.4432,0.4545,0.8724,Co-author (2)
gpt45,NA,positive,0.3594,0.2329,0.9637,Co-author (2)
gpt45,NA,neutral,0.6764,0.9083,0.342,Co-author (2)
gpt45,NA,negative,0.4271,0.358,0.932,Co-author (2)
gpt5,NA,positive,0.2718,0.1753,0.9338,Co-author (2)
gpt5,NA,neutral,0.6547,0.8734,0.3272,Co-author (2)
gpt5,NA,negative,0.3475,0.3011,0.9077,Co-author (2)
gpt6,NA,positive,0.2652,0.1671,0.9464,Co-author (2)
gpt6,NA,neutral,0.6542,0.8755,0.3216,Co-author (2)
gpt6,NA,negative,0.359,0.3182,0.9028,Co-author (2)
gpt7,NA,positive,0.2996,0.1945,0.9401,Co-author (2)
gpt7,NA,neutral,0.5901,0.6004,0.6322,Co-author (2)
gpt7,NA,negative,0.4189,0.7045,0.6452,Co-author (2)
gpt8,NA,positive,0.2941,0.2055,0.8896,Co-author (2)
gpt8,NA,neutral,0.6292,0.8319,0.3124,Co-author (2)
gpt8,NA,negative,0.2816,0.2216,0.9247,Co-author (2)
mturk,NA,positive,0.4372,0.3828,0.8592,Co-author (2)
mturk,NA,neutral,0.7618,0.8916,0.3642,Co-author (2)
mturk,NA,negative,0.0734,0.0385,0.9985,Co-author (2)
gpt43,NA,positive,0.1655,0.0932,0.9811,Co-author (2)
gpt43,NA,neutral,0.6661,0.9214,0.2847,Co-author (2)
gpt43,NA,negative,0.4125,0.375,0.9052,Co-author (2)
gpt44,NA,positive,0.3084,0.1918,0.97,Co-author (2)
gpt44,NA,neutral,0.6688,0.9148,0.305,Co-author (2)
gpt44,NA,negative,0.3918,0.3239,0.9295,Co-author (2)
gpt46,NA,positive,0.3341,0.211,0.97,Co-author (2)
gpt46,NA,neutral,0.6768,0.9258,0.3142,Co-author (2)
gpt46,NA,negative,0.4014,0.3239,0.938,Co-author (2)
gpt47,NA,positive,0.3226,0.2055,0.9606,Co-author (2)
gpt47,NA,neutral,0.6751,0.9367,0.2902,Co-author (2)
gpt47,NA,negative,0.374,0.2784,0.955,Co-author (2)
gpt48,NA,positive,0.3872,0.2658,0.9385,Co-author (2)
gpt48,NA,neutral,0.6721,0.8996,0.342,Co-author (2)
gpt48,NA,negative,0.3985,0.3068,0.9502,Co-author (2)
mistral2,NA,positive,0.3036,0.2055,0.9144,Co-author (2)
mistral2,NA,neutral,0.6301,0.7692,0.4344,Co-author (2)
mistral2,NA,negative,0.4186,0.4602,0.8415,Co-author (2)
mistral1,NA,positive,0.3654,0.252,0.9262,Co-author (2)
mistral1,NA,neutral,0.647,0.7664,0.4964,Co-author (2)
mistral1,NA,negative,0.4402,0.514,0.8222,Co-author (2)
mistral3,NA,positive,0.3206,0.2192,0.9144,Co-author (2)
mistral3,NA,neutral,0.6166,0.7121,0.4972,Co-author (2)
mistral3,NA,negative,0.4706,0.5909,0.8024,Co-author (2)
mistral4,NA,positive,0.3698,0.2685,0.8938,Co-author (2)
mistral4,NA,neutral,0.5937,0.6264,0.5933,Co-author (2)
mistral4,NA,negative,0.4821,0.6875,0.75,Co-author (2)
mistral5,NA,positive,0.3667,0.2658,0.8938,Co-author (2)
mistral5,NA,neutral,0.5821,0.6,0.6118,Co-author (2)
mistral5,NA,negative,0.4762,0.7102,0.7268,Co-author (2)
mistral6,NA,positive,0.334,0.2356,0.8986,Co-author (2)
mistral6,NA,neutral,0.5814,0.6198,0.5693,Co-author (2)
mistral6,NA,negative,0.4694,0.6761,0.7415,Co-author (2)
mistral7,NA,positive,0.4596,0.3973,0.8082,Co-author (2)
mistral7,NA,neutral,0.5653,0.5758,0.6118,Co-author (2)
mistral7,NA,negative,0.4516,0.5568,0.8049,Co-author (2)
mistral8,NA,positive,0.3843,0.2822,0.8922,Co-author (2)
mistral8,NA,neutral,0.614,0.6747,0.5601,Co-author (2)
mistral8,NA,negative,0.5044,0.6534,0.7988,Co-author (2)
mixtral2,NA,positive,0.4073,0.3068,0.8843,Co-author (2)
mixtral2,NA,neutral,0.5698,0.5473,0.6858,Co-author (2)
mixtral2,NA,negative,0.4613,0.7443,0.6817,Co-author (2)
mixtral1,NA,positive,0.3686,0.2547,0.9262,Co-author (2)
mixtral1,NA,neutral,0.6205,0.6659,0.5985,Co-author (2)
mixtral1,NA,negative,0.4701,0.6816,0.7364,Co-author (2)
mixtral3,NA,positive,0.1638,0.0904,0.9921,Co-author (2)
mixtral3,NA,neutral,0.6416,0.7692,0.4713,Co-author (2)
mixtral3,NA,negative,0.4779,0.6761,0.7524,Co-author (2)
