Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,negative,0.4088,0.7445,0.6984,General public
gpt1,NA,negative,0.4184,0.6547,0.7644,General public
gpt3,NA,negative,0.3264,0.2847,0.9269,General public
gpt4,NA,negative,0.4015,0.3942,0.9095,General public
gpt42,NA,negative,0.4474,0.4964,0.8852,General public
gpt41,NA,negative,0.4161,0.4891,0.8631,General public
gpt45,NA,negative,0.4453,0.4161,0.9281,General public
gpt5,NA,negative,0.3609,0.3504,0.906,General public
gpt6,NA,negative,0.3883,0.3869,0.9037,General public
gpt7,NA,negative,0.4087,0.8248,0.6485,General public
gpt8,NA,negative,0.3109,0.2701,0.9258,General public
mturk,NA,negative,0.05,0.0267,0.9956,General public
gpt43,NA,negative,0.4057,0.4161,0.8991,General public
gpt44,NA,negative,0.4206,0.3869,0.9281,General public
gpt46,NA,negative,0.4163,0.3723,0.9339,General public
gpt47,NA,negative,0.3857,0.3139,0.9501,General public
gpt48,NA,negative,0.4741,0.4015,0.9536,General public
mistral2,NA,negative,0.431,0.5474,0.8417,General public
mistral1,NA,negative,0.4286,0.5827,0.8178,General public
mistral3,NA,negative,0.4566,0.6715,0.7974,General public
mistral4,NA,negative,0.4449,0.7518,0.7404,General public
mistral5,NA,negative,0.428,0.7591,0.7148,General public
mistral6,NA,negative,0.4316,0.7372,0.7322,General public
mistral7,NA,negative,0.4354,0.6277,0.7998,General public
mistral8,NA,negative,0.4652,0.708,0.787,General public
mixtral2,NA,negative,0.4121,0.7956,0.6705,General public
mixtral1,NA,negative,0.4259,0.7338,0.7255,General public
mixtral3,NA,negative,0.4575,0.7664,0.7474,General public
mixtral4,NA,negative,0.4324,0.5839,0.8219,General public
mixtral5,NA,negative,0.4762,0.5474,0.8801,General public
mixtral6,NA,negative,0.4353,0.5401,0.8498,General public
mixtral7,NA,negative,0.4239,0.5182,0.8522,General public
mixtral8,NA,negative,0.4774,0.5401,0.8847,General public
vader,NA,negative,0.2186,0.2632,0.8722,General public
