Method,Prompt,Stance,F1 score,Sensitivity,Specificity,agreement
GPT 3.5,0,neutral,0.5354,0.3975,0.75,Partial agreement
GPT 3.5,1,neutral,0.5381,0.3904,0.8265,Partial agreement
GPT 3.5,3,neutral,0.8619,0.9287,0.352,Partial agreement
GPT 3.5,4,neutral,0.8345,0.8538,0.449,Partial agreement
GPT 4,0,neutral,0.8339,0.8146,0.602,Partial agreement
GPT 4,1,neutral,0.8846,0.8948,0.6327,Partial agreement
GPT 4,5,neutral,0.8789,0.9055,0.5561,Partial agreement
GPT 3.5,5,neutral,0.8358,0.8574,0.4439,Partial agreement
GPT 3.5,6,neutral,0.8406,0.8645,0.449,Partial agreement
GPT 3.5,7,neutral,0.6977,0.5882,0.7194,Partial agreement
GPT 3.5,8,neutral,0.8172,0.8289,0.4286,Partial agreement
Amazon Mturk,NA,neutral,0.8398,0.8645,0.441,Partial agreement
GPT 4,3,neutral,0.8895,0.9444,0.4898,Partial agreement
GPT 4,4,neutral,0.886,0.9216,0.5459,Partial agreement
GPT 4,6,neutral,0.8816,0.9162,0.5357,Partial agreement
GPT 4,7,neutral,0.8906,0.943,0.5,Partial agreement
GPT 4,8,neutral,0.8868,0.9073,0.602,Partial agreement
Mistral,0,neutral,0.8068,0.767,0.6173,Partial agreement
Mistral,1,neutral,0.8097,0.7814,0.5765,Partial agreement
Mistral,3,neutral,0.7616,0.7043,0.5867,Partial agreement
Mistral,4,neutral,0.7033,0.6075,0.6582,Partial agreement
Mistral,5,neutral,0.6779,0.5771,0.6429,Partial agreement
Mistral,6,neutral,0.6948,0.6057,0.6071,Partial agreement
Mistral,7,neutral,0.6795,0.5681,0.7041,Partial agreement
Mistral,8,neutral,0.74,0.6631,0.6327,Partial agreement
Mixtral,0,neutral,0.7382,0.647,0.699,Partial agreement
Mixtral,1,neutral,0.6503,0.5233,0.7551,Partial agreement
Mixtral,3,neutral,0.7879,0.7455,0.5816,Partial agreement
Mixtral,4,neutral,0.8582,0.8566,0.602,Partial agreement
Mixtral,5,neutral,0.8596,0.8889,0.4898,Partial agreement
Mixtral,6,neutral,0.8443,0.8746,0.4388,Partial agreement
Mixtral,7,neutral,0.8531,0.8584,0.5612,Partial agreement
Mixtral,8,neutral,0.8595,0.8548,0.6173,Partial agreement
Vader,NA,neutral,0.7996,0.7804,0.5102,Partial agreement
