Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,neutral,0.5004,0.3417,0.8346,Co-author (1)
gpt1,NA,neutral,0.5225,0.3633,0.8168,Co-author (1)
gpt3,NA,neutral,0.9055,0.8956,0.4331,Co-author (1)
gpt4,NA,neutral,0.8517,0.7936,0.5197,Co-author (1)
gpt42,NA,neutral,0.8719,0.8039,0.7244,Co-author (1)
gpt41,NA,neutral,0.8222,0.7294,0.6929,Co-author (1)
gpt45,NA,neutral,0.8856,0.8349,0.6535,Co-author (1)
gpt5,NA,neutral,0.8594,0.8062,0.5197,Co-author (1)
gpt6,NA,neutral,0.8646,0.8131,0.5354,Co-author (1)
gpt7,NA,neutral,0.6597,0.5092,0.7638,Co-author (1)
gpt8,NA,neutral,0.8517,0.7936,0.5197,Co-author (1)
mturk,NA,neutral,0.8629,0.8326,0.4701,Co-author (1)
gpt43,NA,neutral,0.9018,0.8693,0.5984,Co-author (1)
gpt44,NA,neutral,0.8938,0.8544,0.6063,Co-author (1)
gpt46,NA,neutral,0.8974,0.8578,0.6299,Co-author (1)
gpt47,NA,neutral,0.9056,0.875,0.6063,Co-author (1)
gpt48,NA,neutral,0.8866,0.8337,0.6772,Co-author (1)
mistral2,NA,neutral,0.8131,0.7135,0.7165,Co-author (1)
mistral1,NA,neutral,0.7923,0.68,0.7557,Co-author (1)
mistral3,NA,neutral,0.7618,0.6421,0.7008,Co-author (1)
mistral4,NA,neutral,0.6856,0.542,0.7323,Co-author (1)
mistral5,NA,neutral,0.6627,0.5155,0.7244,Co-author (1)
mistral6,NA,neutral,0.6922,0.5512,0.7165,Co-author (1)
mistral7,NA,neutral,0.6562,0.5063,0.748,Co-author (1)
mistral8,NA,neutral,0.7228,0.588,0.7323,Co-author (1)
mixtral2,NA,neutral,0.6196,0.4591,0.8425,Co-author (1)
mixtral1,NA,neutral,0.7129,0.5703,0.8015,Co-author (1)
mixtral3,NA,neutral,0.7907,0.6847,0.6772,Co-author (1)
mixtral4,NA,neutral,0.8377,0.7572,0.6535,Co-author (1)
mixtral5,NA,neutral,0.8663,0.8124,0.5669,Co-author (1)
mixtral6,NA,neutral,0.8571,0.8044,0.5039,Co-author (1)
mixtral7,NA,neutral,0.8478,0.7756,0.6299,Co-author (1)
mixtral8,NA,neutral,0.8438,0.7618,0.7008,Co-author (1)
vader,NA,neutral,0.8174,0.7496,0.5424,Co-author (1)
