Method,Prompt,Stance,F1 score,Sensitivity,Specificity,agreement
Llama3 (70B),8,positive,0.7921,0.8163,0.9474,Full agreement
Llama3 (70B),4,positive,0.7765,0.6735,0.9868,Full agreement
GPT 4,5,positive,0.7619,0.6531,0.9869,Full agreement
GPT 4,8,positive,0.7586,0.6735,0.9782,Full agreement
GPT 4,6,positive,0.7561,0.6327,0.9913,Full agreement
Llama3 (70B),6,positive,0.7561,0.6327,0.9912,Full agreement
GPT 4,2,positive,0.7436,0.5918,1,Full agreement
Llama3 (70B),5,positive,0.7407,0.6122,0.9912,Full agreement
Llama3 (70B),7,positive,0.7234,0.6939,0.9518,Full agreement
Llama3 (70B),3,positive,0.7229,0.6122,0.9825,Full agreement
GPT 4,7,positive,0.7,0.5714,0.9869,Full agreement
"Mixtral 
(8x7B)",8,positive,0.6905,0.5918,0.9737,Full agreement
GPT 4,4,positive,0.675,0.551,0.9825,Full agreement
Llama3 (70B),2,positive,0.6701,0.7097,0.9165,Full agreement
GPT 4,1,positive,0.6512,0.5714,0.9607,Full agreement
"Mixtral 
(8x7B)",7,positive,0.6486,0.4898,0.9956,Full agreement
GPT 4,3,positive,0.6389,0.4694,1,Full agreement
"Mixtral 
(8x7B)",4,positive,0.6389,0.4694,1,Full agreement
"Mistral 
(7B)",1,positive,0.6374,0.58,0.9474,Full agreement
"Mixtral 
(8x7B)",1,positive,0.6136,0.54,0.9518,Full agreement
Llama3 (8B),2,positive,0.6135,0.5376,0.9561,Full agreement
Llama3 (8B),8,positive,0.6135,0.5102,0.9672,Full agreement
"Mixtral 
(8x7B)",5,positive,0.5915,0.4286,0.9956,Full agreement
GPT 3.5,6,positive,0.5854,0.4898,0.9606,Full agreement
"Mistral 
(7B)",2,positive,0.5848,0.5376,0.9385,Full agreement
"Mixtral 
(8x7B)",2,positive,0.5838,0.5806,0.9165,Full agreement
GPT 3.5,4,positive,0.5823,0.4694,0.9694,Full agreement
Llama3 (70B),1,positive,0.5806,0.72,0.8333,Full agreement
"Mistral 
(7B)",8,positive,0.5745,0.551,0.9211,Full agreement
GPT 3.5,7,positive,0.5679,0.4694,0.9606,Full agreement
Llama3 (8B),3,positive,0.5644,0.4694,0.9584,Full agreement
Amazon Mturk,NA,positive,0.5607,0.6122,0.8777,Full agreement
"Mixtral 
(8x7B)",3,positive,0.5588,0.3878,1,Full agreement
"Mixtral 
(8x7B)",6,positive,0.5373,0.3673,1,Full agreement
"Mistral 
(7B)",5,positive,0.5319,0.5102,0.9123,Full agreement
"Mistral 
(7B)",3,positive,0.5275,0.4898,0.9211,Full agreement
GPT 3.5,8,positive,0.5217,0.4898,0.9168,Full agreement
"Mistral 
(7B)",4,positive,0.5161,0.4898,0.9123,Full agreement
GPT 3.5,5,positive,0.5,0.3878,0.965,Full agreement
"Mistral 
(7B)",6,positive,0.5,0.4694,0.9123,Full agreement
"Mistral 
(7B)",7,positive,0.5,0.5918,0.8333,Full agreement
GPT 3.5,3,positive,0.4928,0.3469,0.9869,Full agreement
Llama3 (8B),4,positive,0.4745,0.6633,0.7571,Full agreement
GPT 3.5,2,positive,0.4419,0.6129,0.7632,Full agreement
GPT 3.5,1,positive,0.4342,0.66,0.6987,Full agreement
Llama3 (8B),7,positive,0.4229,0.7551,0.6105,Full agreement
Vader,NA,positive,0.4086,0.3878,0.8908,Full agreement
Llama3 (8B),6,positive,0.4038,0.6429,0.6696,Full agreement
Llama3 (8B),5,positive,0.3774,0.7143,0.5558,Full agreement
Llama3 (8B),1,positive,0.3234,0.54,0.607,Full agreement
