Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.3235,0.4873,0.7134,Annotator
gpt1,NA,positive,0.2755,0.4562,0.6502,Annotator
gpt3,NA,positive,0.2871,0.1835,0.9822,Annotator
gpt4,NA,positive,0.3235,0.2785,0.9168,Annotator
gpt42,NA,positive,0.4488,0.3608,0.9536,Annotator
gpt41,NA,positive,0.3771,0.3544,0.9013,Annotator
gpt45,NA,positive,0.4511,0.3797,0.9429,Annotator
gpt5,NA,positive,0.2803,0.2342,0.918,Annotator
gpt6,NA,positive,0.3162,0.2532,0.9346,Annotator
gpt7,NA,positive,0.3071,0.2595,0.9191,Annotator
gpt8,NA,positive,0.2904,0.2785,0.8799,Annotator
mturk,NA,positive,0.4056,0.4496,0.8421,Annotator
gpt43,NA,positive,0.3529,0.2278,0.9881,Annotator
gpt44,NA,positive,0.4372,0.3418,0.9584,Annotator
gpt46,NA,positive,0.4173,0.3354,0.9489,Annotator
gpt47,NA,positive,0.4341,0.3544,0.9477,Annotator
gpt48,NA,positive,0.4626,0.4304,0.9191,Annotator
mistral2,NA,positive,0.2927,0.2658,0.8962,Annotator
mistral1,NA,positive,0.3267,0.30620000000000003,0.8924,Annotator
mistral3,NA,positive,0.2877,0.2658,0.8902,Annotator
mistral4,NA,positive,0.2724,0.2785,0.8556,Annotator
mistral5,NA,positive,0.2795,0.2848,0.858,Annotator
mistral6,NA,positive,0.2532,0.2468,0.8675,Annotator
mistral7,NA,positive,0.316,0.4241,0.7625,Annotator
mistral8,NA,positive,0.3161,0.3291,0.858,Annotator
mixtral2,NA,positive,0.309,0.3354,0.8425,Annotator
mixtral1,NA,positive,0.3056,0.2875,0.8877,Annotator
mixtral3,NA,positive,0.2755,0.1709,0.9869,Annotator
mixtral4,NA,positive,0.3744,0.2595,0.9761,Annotator
mixtral5,NA,positive,0.3349,0.2278,0.9749,Annotator
mixtral6,NA,positive,0.254,0.1519,0.9916,Annotator
mixtral7,NA,positive,0.3745,0.2785,0.9606,Annotator
mixtral8,NA,positive,0.4057,0.3608,0.9212,Annotator
vader,NA,positive,0.3089,0.2946,0.8742,Annotator
