Model,Prompt,Negative (partial agreement),Neutral (partial agreement),Positive (partial agreement),Negative (full agreement),Neutral (full agreement),Positive (full agreement)
GPT 3.5,1,29.129129129129126,34.134134134134136,36.73673673673674,27.697841726618705,35.97122302158273,36.330935251798564
GPT 3.5,2,36.23623623623624,31.931931931931935,31.83183183183183,34.89208633093525,34.89208633093525,30.215827338129497
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411,8.633093525179856,80.57553956834532,10.79136690647482
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061,8.992805755395683,81.29496402877699,9.712230215827338
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951,9.352517985611511,78.77697841726618,11.870503597122301
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091,36.69064748201439,51.798561151079134,11.510791366906476
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,1,18.51851851851852,67.56756756756756,13.913913913913914,12.589928057553957,74.10071942446042,13.309352517985612
GPT 4,2,16.716716716716718,73.67367367367368,9.60960960960961,12.589928057553957,76.97841726618705,10.431654676258994
GPT 4,3,12.951807228915662,82.53012048192771,4.518072289156627,10.469314079422382,81.2274368231047,8.303249097472925
GPT 4,4,11.01101101101101,79.57957957957959,9.40940940940941,8.633093525179856,80.2158273381295,11.151079136690647
GPT 4,5,11.911911911911911,77.27727727727728,10.81081081081081,7.553956834532374,79.85611510791367,12.589928057553957
GPT 4,6,11.31131131131131,79.17917917917919,9.50950950950951,8.273381294964029,80.57553956834532,11.151079136690647
GPT 4,7,9.30930930930931,81.58158158158159,9.10910910910911,6.83453237410072,83.09352517985612,10.071942446043165
GPT 4,8,9.80980980980981,76.87687687687688,13.313313313313312,6.115107913669065,79.49640287769785,14.388489208633093
