Model,Prompt,Negative (partial agreement),Neutral (partial agreement),Positive (partial agreement),Negative (full agreement),Neutral (full agreement),Positive (full agreement)
GPT 3.5,0,29.129129129129126,34.134134134134136,36.73673673673674,27.697841726618705,35.97122302158273,36.330935251798564
GPT 4,0,18.51851851851852,67.56756756756756,13.913913913913914,12.589928057553957,74.10071942446042,13.309352517985612
Mistral,0,23.523523523523522,62.66266266266266,13.813813813813812,16.967509025270758,68.59205776173285,14.440433212996389
GPT 3.5,1,36.33633633633634,31.931931931931935,31.73173173173173,34.89208633093525,34.89208633093525,30.215827338129497
GPT 4,1,17.017017017017018,73.57357357357357,9.40940940940941,13.309352517985612,76.61870503597122,10.071942446043165
Mistral,1,21.12112112112112,65.96596596596596,12.912912912912914,16.60649819494585,68.59205776173285,14.801444043321299
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 4,3,15.060240963855422,80.62248995983936,4.317269076305221,12.996389891696749,79.42238267148014,7.581227436823104
Mistral,3,26.726726726726728,59.85985985985987,13.413413413413414,22.382671480144403,62.454873646209386,15.162454873646208
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411,8.633093525179856,80.57553956834532,10.79136690647482
GPT 4,4,11.511511511511511,79.17917917917919,9.30930930930931,9.712230215827338,79.49640287769785,10.79136690647482
Mistral,4,32.732732732732735,50.750750750750754,16.516516516516518,27.79783393501805,56.317689530685925,15.884476534296029
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061,8.992805755395683,81.29496402877699,9.712230215827338
GPT 4,5,25.025025025025027,64.96496496496496,10.01001001001001,26.978417266187048,62.589928057553955,10.431654676258994
Mistral,5,35.03503503503504,48.548548548548546,16.416416416416414,29.96389891696751,53.79061371841155,16.24548736462094
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951,9.352517985611511,78.77697841726618,11.870503597122301
GPT 4,6,17.81781781781782,72.97297297297297,9.20920920920921,18.345323741007196,71.58273381294964,10.071942446043165
Mistral,6,33.233233233233236,51.751751751751755,15.015015015015015,28.158844765342963,56.317689530685925,15.523465703971121
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091,36.69064748201439,51.798561151079134,11.510791366906476
GPT 4,7,17.117117117117118,74.27427427427428,8.608608608608609,18.345323741007196,73.02158273381295,8.633093525179856
Mistral,7,25.925925925925924,47.44744744744745,26.626626626626624,21.660649819494584,54.151624548736464,24.187725631768952
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,8,9.80980980980981,76.87687687687688,13.313313313313312,6.115107913669065,79.49640287769785,14.388489208633093
Mistral,8,28.128128128128125,54.75475475475476,17.117117117117118,23.826714801444044,59.92779783393502,16.24548736462094
