Model,Prompt,Negative,Neutral,Positive
GPT 3.5,1,29.129129129129126,34.134134134134136,36.73673673673674
GPT 4,1,18.51851851851852,67.56756756756756,13.913913913913914
Mistral,1,23.523523523523522,62.66266266266266,13.813813813813812
Mixtral,1,33.696729435084244,52.32903865213082,13.974231912784935
GPT 3.5,2,36.23623623623624,31.931931931931935,31.83183183183183
GPT 4,2,16.716716716716718,73.67367367367368,9.60960960960961
Mistral,2,21.12112112112112,65.96596596596596,12.912912912912914
Mixtral,2,39.23923923923924,42.24224224224224,18.51851851851852
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405
GPT 4,3,14.414414414414415,80.98098098098097,4.604604604604605
Mistral,3,26.726726726726728,59.85985985985987,13.413413413413414
Mixtral,3,32.33233233233233,63.86386386386387,3.8038038038038042
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411
GPT 4,4,11.511511511511511,79.57957957957959,8.90890890890891
Mistral,4,32.732732732732735,50.750750750750754,16.516516516516518
Mixtral,4,23.423423423423422,70.47047047047047,6.106106106106106
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061
GPT 4,5,11.911911911911911,77.27727727727728,10.81081081081081
Mistral,5,35.03503503503504,48.548548548548546,16.416416416416414
Mixtral,5,17.917917917917915,76.37637637637637,5.7057057057057055
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951
GPT 4,6,10.81081081081081,79.57957957957959,9.60960960960961
Mistral,6,33.233233233233236,51.751751751751755,15.015015015015015
Mixtral,6,20.42042042042042,76.47647647647648,3.1031031031031033
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091
GPT 4,7,8.608608608608609,81.38138138138137,10.01001001001001
Mistral,7,25.925925925925924,47.44744744744745,26.626626626626624
Mixtral,7,20.02002002002002,72.27227227227228,7.707707707707708
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515
GPT 4,8,9.50950950950951,76.87687687687688,13.613613613613614
Mistral,8,28.128128128128125,54.75475475475476,17.117117117117118
Mixtral,8,17.417417417417415,70.27027027027027,12.312312312312311
