Model,Prompt,Negative (partial agreement),Neutral (partial agreement),Positive (partial agreement),Negative (full agreement),Neutral (full agreement),Positive (full agreement)
GPT 3.5,0,29.129129129129126,34.134134134134136,36.73673673673674,27.697841726618705,35.97122302158273,36.330935251798564
GPT 4,0,18.51851851851852,67.56756756756756,13.913913913913914,12.589928057553957,74.10071942446042,13.309352517985612
Mistral,0,23.523523523523522,62.66266266266266,13.813813813813812,16.967509025270758,68.59205776173285,14.440433212996389
Mixtral,0,33.533533533533536,52.45245245245245,14.014014014014014,27.075812274368232,59.56678700361011,13.357400722021662
GPT 3.5,1,36.23623623623624,31.931931931931935,31.83183183183183,34.89208633093525,34.89208633093525,30.215827338129497
GPT 4,1,16.716716716716718,73.67367367367368,9.60960960960961,12.589928057553957,76.97841726618705,10.431654676258994
Mistral,1,21.12112112112112,65.96596596596596,12.912912912912914,16.60649819494585,68.59205776173285,14.801444043321299
Mixtral,1,39.23923923923924,42.24224224224224,18.51851851851852,35.018050541516246,48.014440433213,16.967509025270758
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 4,3,12.951807228915662,82.53012048192771,4.518072289156627,10.469314079422382,81.2274368231047,8.303249097472925
Mistral,3,26.726726726726728,59.85985985985987,13.413413413413414,22.382671480144403,62.454873646209386,15.162454873646208
Mixtral,3,32.33233233233233,63.86386386386387,3.8038038038038042,26.353790613718413,66.78700361010831,6.859205776173286
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411,8.633093525179856,80.57553956834532,10.79136690647482
GPT 4,4,11.01101101101101,79.57957957957959,9.40940940940941,8.633093525179856,80.2158273381295,11.151079136690647
Mistral,4,32.732732732732735,50.750750750750754,16.516516516516518,27.79783393501805,56.317689530685925,15.884476534296029
Mixtral,4,23.423423423423422,70.47047047047047,6.106106106106106,16.60649819494585,75.09025270758123,8.303249097472925
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061,8.992805755395683,81.29496402877699,9.712230215827338
GPT 4,5,11.911911911911911,77.27727727727728,10.81081081081081,7.553956834532374,79.85611510791367,12.589928057553957
Mistral,5,35.03503503503504,48.548548548548546,16.416416416416414,29.96389891696751,53.79061371841155,16.24548736462094
Mixtral,5,17.917917917917915,76.37637637637637,5.7057057057057055,11.552346570397113,80.50541516245488,7.9422382671480145
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951,9.352517985611511,78.77697841726618,11.870503597122301
GPT 4,6,11.31131131131131,79.17917917917919,9.50950950950951,8.273381294964029,80.57553956834532,11.151079136690647
Mistral,6,33.233233233233236,51.751751751751755,15.015015015015015,28.158844765342963,56.317689530685925,15.523465703971121
Mixtral,6,20.42042042042042,76.47647647647648,3.1031031031031033,14.079422382671481,79.42238267148014,6.4981949458483745
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091,36.69064748201439,51.798561151079134,11.510791366906476
GPT 4,7,9.30930930930931,81.58158158158159,9.10910910910911,6.83453237410072,83.09352517985612,10.071942446043165
Mistral,7,25.925925925925924,47.44744744744745,26.626626626626624,21.660649819494584,54.151624548736464,24.187725631768952
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,8,9.80980980980981,76.87687687687688,13.313313313313312,6.115107913669065,79.49640287769785,14.388489208633093
Mistral,8,28.128128128128125,54.75475475475476,17.117117117117118,23.826714801444044,59.92779783393502,16.24548736462094
