Model,Prompt,Negative,Neutral,Positive
GPT 3.5,1,27.697841726618705,35.97122302158273,36.330935251798564
GPT 4,1,12.589928057553957,74.10071942446042,13.309352517985612
Mistral (7B),1,16.967509025270758,68.59205776173285,14.440433212996389
Mistral (8x7B),1,26.978417266187048,59.352517985611506,13.66906474820144
Llama3 (8B),1,19.424460431654676,38.84892086330935,41.726618705035975
Llama3 (70B),1,32.851985559566785,40.794223826714806,26.353790613718413
GPT 3.5,2,34.89208633093525,34.89208633093525,30.215827338129497
GPT 4,2,12.589928057553957,76.97841726618705,10.431654676258994
Mistral (7B),2,16.60649819494585,68.59205776173285,14.801444043321299
Mistral (8x7B),2,35.018050541516246,48.014440433213,16.967509025270758
Llama3 (8B),2,26.04735883424408,61.20218579234973,12.750455373406194
Llama3 (70B),2,22.382671480144403,58.12274368231047,19.494584837545126
GPT 3.5,3,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 4,3,11.151079136690647,80.57553956834532,8.273381294964029
Mistral (7B),3,22.382671480144403,62.454873646209386,15.162454873646208
Mistral (8x7B),3,26.353790613718413,66.78700361010831,6.859205776173286
Llama3 (8B),3,47.56756756756757,40.72072072072072,11.711711711711711
Llama3 (70B),3,20.577617328519857,67.14801444043322,12.274368231046932
GPT 3.5,4,8.633093525179856,80.57553956834532,10.79136690647482
GPT 4,4,8.633093525179856,80.2158273381295,11.151079136690647
Mistral (7B),4,27.79783393501805,56.317689530685925,15.884476534296029
Mistral (8x7B),4,16.60649819494585,75.09025270758123,8.303249097472925
Llama3 (8B),4,39.27927927927928,29.009009009009006,31.71171171171171
Llama3 (70B),4,16.60649819494585,70.3971119133574,12.996389891696749
GPT 3.5,5,8.992805755395683,81.29496402877699,9.712230215827338
GPT 4,5,7.553956834532374,79.85611510791367,12.589928057553957
Mistral (7B),5,29.96389891696751,53.79061371841155,16.24548736462094
Mistral (8x7B),5,11.552346570397113,80.50541516245488,7.9422382671480145
Llama3 (8B),5,34.234234234234236,16.576576576576578,49.18918918918919
Llama3 (70B),5,20.938628158844764,67.50902527075813,11.552346570397113
GPT 3.5,6,9.352517985611511,78.77697841726618,11.870503597122301
GPT 4,6,7.913669064748201,80.2158273381295,11.870503597122301
Mistral (7B),6,28.158844765342963,56.317689530685925,15.523465703971121
Mistral (8x7B),6,14.079422382671481,79.42238267148014,6.4981949458483745
Llama3 (8B),6,44.5045045045045,16.936936936936934,38.55855855855856
Llama3 (70B),6,19.855595667870034,68.23104693140795,11.913357400722022
GPT 3.5,7,36.69064748201439,51.798561151079134,11.510791366906476
GPT 4,7,6.83453237410072,82.01438848920863,11.151079136690647
Mistral (7B),7,21.660649819494584,54.151624548736464,24.187725631768952
Mistral (8x7B),7,14.440433212996389,76.53429602888086,9.025270758122744
Llama3 (8B),7,35.85585585585586,18.73873873873874,45.40540540540541
Llama3 (70B),7,20.938628158844764,62.8158844765343,16.24548736462094
GPT 3.5,8,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,8,7.1942446043165464,79.13669064748201,13.66906474820144
Mistral (7B),8,23.826714801444044,59.92779783393502,16.24548736462094
Mistral (8x7B),8,12.996389891696749,74.36823104693141,12.63537906137184
Llama3 (8B),8,43.06306306306306,45.22522522522522,11.711711711711711
Llama3 (70B),8,14.801444043321299,66.4259927797834,18.772563176895307
