Model,Prompt,Negative (partial agreement),Neutral (partial agreement),Positive (partial agreement),Negative (full agreement),Neutral (full agreement),Positive (full agreement)
GPT 3.5,1,29.129129129129126,34.134134134134136,36.73673673673674,27.697841726618705,35.97122302158273,36.330935251798564
GPT 4,1,18.51851851851852,67.56756756756756,13.913913913913914,12.589928057553957,74.10071942446042,13.309352517985612
Mistral (7B),1,23.523523523523522,62.66266266266266,13.813813813813812,16.967509025270758,68.59205776173285,14.440433212996389
Mistral (8x7B),1,33.696729435084244,52.32903865213082,13.974231912784935,26.978417266187048,59.352517985611506,13.66906474820144
Llama3 (8B),1,22.57257257257257,40.99099099099099,36.43643643643644,19.424460431654676,38.84892086330935,41.726618705035975
Llama3 (70B),1,35.73573573573574,29.32932932932933,34.93493493493494,32.851985559566785,40.794223826714806,26.353790613718413
GPT 3.5,2,36.23623623623624,31.931931931931935,31.83183183183183,34.89208633093525,34.89208633093525,30.215827338129497
GPT 4,2,16.716716716716718,73.67367367367368,9.60960960960961,12.589928057553957,76.97841726618705,10.431654676258994
Mistral (7B),2,21.12112112112112,65.96596596596596,12.912912912912914,16.60649819494585,68.59205776173285,14.801444043321299
Mistral (8x7B),2,39.23923923923924,42.24224224224224,18.51851851851852,35.018050541516246,48.014440433213,16.967509025270758
Llama3 (8B),2,32.74111675126903,53.502538071065985,13.756345177664976,26.04735883424408,61.20218579234973,12.750455373406194
Llama3 (70B),2,26.926926926926924,46.74674674674675,26.326326326326328,22.382671480144403,58.12274368231047,19.494584837545126
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 4,3,14.414414414414415,80.98098098098097,4.604604604604605,11.151079136690647,80.57553956834532,8.273381294964029
Mistral (7B),3,26.726726726726728,59.85985985985987,13.413413413413414,22.382671480144403,62.454873646209386,15.162454873646208
Mistral (8x7B),3,32.33233233233233,63.86386386386387,3.8038038038038042,26.353790613718413,66.78700361010831,6.859205776173286
Llama3 (8B),3,48.248248248248245,41.64164164164164,10.11011011011011,47.56756756756757,40.72072072072072,11.711711711711711
Llama3 (70B),3,26.826826826826828,61.36136136136137,11.811811811811811,20.577617328519857,67.14801444043322,12.274368231046932
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411,8.633093525179856,80.57553956834532,10.79136690647482
GPT 4,4,11.511511511511511,79.57957957957959,8.90890890890891,8.633093525179856,80.2158273381295,11.151079136690647
Mistral (7B),4,32.732732732732735,50.750750750750754,16.516516516516518,27.79783393501805,56.317689530685925,15.884476534296029
Mistral (8x7B),4,23.423423423423422,70.47047047047047,6.106106106106106,16.60649819494585,75.09025270758123,8.303249097472925
Llama3 (8B),4,40.69069069069069,23.773773773773772,35.53553553553554,39.27927927927928,29.009009009009006,31.71171171171171
Llama3 (70B),4,24.424424424424423,62.06206206206206,13.513513513513514,16.60649819494585,70.3971119133574,12.996389891696749
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061,8.992805755395683,81.29496402877699,9.712230215827338
GPT 4,5,11.911911911911911,77.27727727727728,10.81081081081081,7.553956834532374,79.85611510791367,12.589928057553957
Mistral (7B),5,35.03503503503504,48.548548548548546,16.416416416416414,29.96389891696751,53.79061371841155,16.24548736462094
Mistral (8x7B),5,17.917917917917915,76.37637637637637,5.7057057057057055,11.552346570397113,80.50541516245488,7.9422382671480145
Llama3 (8B),5,37.08708708708709,14.964964964964967,47.94794794794795,34.234234234234236,16.576576576576578,49.18918918918919
Llama3 (70B),5,24.124124124124123,64.76476476476476,11.11111111111111,20.938628158844764,67.50902527075813,11.552346570397113
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951,9.352517985611511,78.77697841726618,11.870503597122301
GPT 4,6,10.81081081081081,79.57957957957959,9.60960960960961,7.913669064748201,80.2158273381295,11.870503597122301
Mistral (7B),6,33.233233233233236,51.751751751751755,15.015015015015015,28.158844765342963,56.317689530685925,15.523465703971121
Mistral (8x7B),6,20.42042042042042,76.47647647647648,3.1031031031031033,14.079422382671481,79.42238267148014,6.4981949458483745
Llama3 (8B),6,46.74674674674675,17.117117117117118,36.13613613613614,44.5045045045045,16.936936936936934,38.55855855855856
Llama3 (70B),6,25.625625625625624,62.56256256256256,11.811811811811811,19.855595667870034,68.23104693140795,11.913357400722022
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091,36.69064748201439,51.798561151079134,11.510791366906476
GPT 4,7,8.608608608608609,81.38138138138137,10.01001001001001,6.83453237410072,82.01438848920863,11.151079136690647
Mistral (7B),7,25.925925925925924,47.44744744744745,26.626626626626624,21.660649819494584,54.151624548736464,24.187725631768952
Mistral (8x7B),7,20.02002002002002,72.27227227227228,7.707707707707708,14.440433212996389,76.53429602888086,9.025270758122744
Llama3 (8B),7,36.08608608608609,16.816816816816818,47.0970970970971,35.85585585585586,18.73873873873874,45.40540540540541
Llama3 (70B),7,24.924924924924923,55.95595595595596,19.11911911911912,20.938628158844764,62.8158844765343,16.24548736462094
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,8,9.50950950950951,76.87687687687688,13.613613613613614,7.1942446043165464,79.13669064748201,13.66906474820144
Mistral (7B),8,28.128128128128125,54.75475475475476,17.117117117117118,23.826714801444044,59.92779783393502,16.24548736462094
Mistral (8x7B),8,17.417417417417415,70.27027027027027,12.312312312312311,12.996389891696749,74.36823104693141,12.63537906137184
Llama3 (8B),8,45.24524524524524,43.04304304304304,11.711711711711711,43.06306306306306,45.22522522522522,11.711711711711711
Llama3 (70B),8,18.61861861861862,59.75975975975976,21.62162162162162,14.801444043321299,66.4259927797834,18.772563176895307
